"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL037W",6.64839577492214,1.78680257342877,0.815473054932696,2.1911239894692,0.0284428211658564,0.0844152993390864
"YAL038W",12804.8369044913,-1.42888415907032,0.0202560457068436,-70.5411204017751,0,1e-10
"YAL039C",310.368408725721,-0.383361992099216,0.10226513571213,-3.74870662840908,0.000177748860049998,0.00106971815957518
"YAL040C",89.3145770730522,0.212554203193707,0.194232779759975,1.09432714424606,0.273811524432708,0.454793280299128
"YAL041W",94.6215760139896,-0.0484302498333371,0.19171408731606,-0.252617063833681,0.800564142585377,0.885932078784505
"YAL042W",755.974593606242,-0.373809486365617,0.0686136472597713,-5.44803404708066,5.09296107829205e-08,5.01307810130696e-07
"YAL043C",125.018835272463,-0.0705302822617954,0.16082699093115,-0.438547546362968,0.660989411422593,0.794568171281412
"YAL044C",209.710149732765,-1.904301428995,0.135629075845248,-14.0405102455154,8.80761992911095e-45,1e-10
"YAL044W-A",42.2409171994768,0.231026220084166,0.29639729613322,0.779447798944589,0.435715976259297,0.617318458713016
"YAL046C",37.3050067700407,-0.55063478581181,0.292997643966652,-1.87931472197941,0.0602015326782897,0.150945506001679
"YAL047C",28.4618539771256,0.206864879638654,0.338665630208557,0.610823364364616,0.541316523844669,0.705776619281524
"YAL048C",26.4064144110453,-0.719675863130142,0.353621858840487,-2.03515660906804,0.0418351174808293,0.112928782998227
"YAL049C",103.894264271056,0.130408600523179,0.185572608455939,0.702736258374807,0.482220127166257,0.65854099411106
"YAL051W",69.8457232416044,0.481353258579779,0.220081548874753,2.18715862843057,0.028730945897693,0.085113553262263
"YAL053W",617.233493458313,0.254049489582455,0.0781501098234787,3.25078864452384,0.00115085378779086,0.005734705492543
"YAL054C",62.1587173680189,1.08336533331371,0.247432992681245,4.37841906842774,1.1954331722958e-05,8.78885962004693e-05
"YAL055W",62.7850224588846,0.159662460927304,0.246102672764487,0.648763620215113,0.51649117539671,0.686261484092
"YAL056W",171.610743081057,0.213329721742836,0.142586661231338,1.49614080237648,0.134616967068834,0.27493845620328
"YAL058W",51.9615010759104,-0.668344759419737,0.249376722497944,-2.68006072389233,0.00736088057342723,0.0281983734380137
"YAL059W",18.1620958969449,-0.202387680453592,0.424768400842966,-0.47646595192097,0.633742458501988,0.772853314004133
"YAL060W",264.336559670476,-0.759379758349473,0.111382166662417,-6.81778583685703,9.24543275222221e-12,2.20404146165776e-10
"YAL061W",270.588663761798,-2.71022621539892,0.125670333031091,-21.5661576605228,3.73456427814853e-103,1e-10
"YAL062W",83.1280366754778,-0.0909283649415853,0.199493910025098,-0.455795191593297,0.648537262153886,0.784059666277468
"YAL063C",66.2486695421399,0.0198333912494929,0.226200315135776,0.0876806526002757,0.930130497378408,0.960623786678176
"YAL063C-A",1.09679339012323,2.99571644551928,1.81994628847824,1.64604662482879,0.0997541601437656,NA
"YAL064C-A",5.12504610656668,0.0786957190179898,0.790973504742669,0.099492231466833,0.920747455688914,0.955483051743317
"YAL064W",1.53506772532564,3.48080613348355,1.67416569107557,2.07912881743939,0.0376055120411125,NA
"YAL064W-B",2.6663611142016,0.195941140550405,1.14247291743847,0.171506157878757,0.863825788894531,NA
"YAL065C",5.75780702166188,-0.359490689667955,0.768019783176578,-0.468074778205685,0.639731115168423,0.777419791662556
"YAL067C",6.50889335763114,2.07803074289029,0.872953706437533,2.3804592701377,0.017291072424072,0.0567876281718357
"YAL067W-A",1.51931387770798,0.0379553179829963,1.51248609057006,0.0250946558911433,0.979979462822548,NA
"YAL068C",0,NA,NA,NA,NA,NA
"YAR002C-A",205.787541711242,0.449828553567627,0.134406287676889,3.3467820690726,0.000817554562326435,0.00422973860251765
"YAR002W",87.9468518069148,-0.172416231129393,0.195409934342577,-0.882330940386715,0.377597869346704,0.562837218342181
